sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_index,patient_id,slice_index
132.31549,226.10596,21.213226,0.37781696219342364,134.80681,210.96248,21.815365,0.809853723010998,225.91368,224.42207,72.67848,85.4522,243.84991,204.6464,132.31549,134.80681,0,2ABA006,6
125.84837,224.09448,21.290844,0.40559234581193815,134.72276,225.01566,21.25521,0.8384127674143698,245.89383,239.18016,58.267025,81.24646,219.99915,191.29117,125.84837,134.72276,1,2ABA006,7
121.70178,220.52289,21.430395,0.40191386560686554,134.31136,231.72865,20.999872,0.8267612490676558,227.68768,229.55202,62.945347,86.17341,202.02216,184.28804,121.70178,134.31136,2,2ABA006,8
118.6433,208.77403,21.90594,0.4032217593901214,132.73224,222.44183,21.355137,0.8232325243193508,214.13112,219.89883,59.17591,86.721054,195.18286,170.17372,118.6433,132.73224,3,2ABA006,9
119.46814,218.03133,21.529087,0.4064242930589226,137.75256,228.94284,21.104927,0.8124769818732559,227.69812,231.35045,54.50827,86.9488,185.289,175.41371,119.46814,137.75256,4,2ABA006,10
119.59359,216.67538,21.583275,0.4118083621283576,131.99171,215.54063,21.628885,0.825701481511206,242.64456,230.68692,51.83382,79.73292,165.67026,161.26251,119.59359,131.99171,5,2ABA006,11
121.03934,220.0728,21.44814,0.41071302097036994,128.16982,207.33784,21.965897,0.8276672614136583,254.39716,218.68573,49.247818,78.22875,163.0538,161.68103,121.03934,128.16982,6,2ABA006,12
122.233894,221.95868,21.374025,0.41039147147827265,128.91756,208.58705,21.913721,0.8289338414783833,255.02538,212.33969,49.66164,80.15081,164.89151,169.59845,122.233894,128.91756,7,2ABA006,13
123.515366,223.37741,21.318682,0.4056107142598045,131.06465,210.82391,21.821072,0.8198246943806183,248.5119,202.67249,52.708344,85.71527,192.41623,194.43225,123.515366,131.06465,8,2ABA006,14
115.50897,208.00494,21.937996,0.41187736212272064,128.29799,203.39583,22.132627,0.8183980924154551,226.92935,189.02478,51.630352,88.17217,190.79068,198.51378,115.50897,128.29799,9,2ABA006,15
114.63276,209.04909,21.894503,0.41562462330002437,129.63496,208.7442,21.907179,0.8119229158084574,222.96088,190.6013,54.682896,91.44776,191.09795,201.33807,114.63276,129.63496,10,2ABA006,16
122.245964,224.57323,21.272308,0.40738891763805074,130.19994,205.58138,22.039793,0.7951836651947818,247.76764,202.36784,55.293037,87.82675,163.59656,179.36848,122.245964,130.19994,11,2ABA006,17
